<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;D;20/12/21;000000;113.33;113.4;106.52;110.73;7437273
MTLR;D;21/12/21;000000;115;123.5;113.85;121.21;20003714
MTLR;D;22/12/21;000000;121.4;125;118.56;121.4;9559872
MTLR;D;23/12/21;000000;121.72;123;116.7;118.49;7823159
MTLR;D;24/12/21;000000;117.55;120.85;115.55;119.39;4805188
MTLR;D;27/12/21;000000;120.37;124.9;119.99;122.54;6825709
MTLR;D;28/12/21;000000;124.57;126.73;123.09;124.2;7906691
MTLR;D;29/12/21;000000;124.34;125;120.08;121.56;3918928
MTLR;D;30/12/21;000000;121.8;123.33;120.31;123.29;2408746
MTLR;D;03/01/22;000000;125.15;128.51;124.69;127.5;4977614
MTLR;D;04/01/22;000000;127.96;130;125.5;127.2;2753883
MTLR;D;05/01/22;000000;126.49;127.89;122.73;124.73;3023065
MTLR;D;06/01/22;000000;121.99;124.4;120;122.4;3030305
MTLR;D;10/01/22;000000;123.53;128.82;123.41;126.39;5335437
MTLR;D;11/01/22;000000;124.59;128.37;122.7;126.95;4184491
MTLR;D;12/01/22;000000;127.06;130.86;126.8;130.41;4414574
MTLR;D;13/01/22;000000;130.13;134.44;124.32;125;10475748
MTLR;D;14/01/22;000000;125.86;128.4;114.36;121.27;9090216
MTLR;D;17/01/22;000000;122.27;124.74;113.02;115.44;6522999
MTLR;D;18/01/22;000000;114.77;115.18;102.97;110.09;8200189
MTLR;D;19/01/22;000000;106.85;122.38;105.5;119.24;10247553
MTLR;D;20/01/22;000000;122.6;126.25;116.21;118.23;6198564
MTLR;D;21/01/22;000000;116.22;119.84;113.48;114.55;4270347
MTLR;D;24/01/22;000000;115.66;115.66;99;101.69;9638291
MTLR;D;25/01/22;000000;105;108.5;100.91;101.42;6724420
MTLR;D;26/01/22;000000;102.97;109.77;100;106.41;7969175
MTLR;D;27/01/22;000000;104.98;112.4;103.15;109.77;6852067
MTLR;D;28/01/22;000000;112.35;113.4;107.83;108.65;3230761
MTLR;D;31/01/22;000000;110.87;115.97;110.32;115.97;5155078
MTLR;D;01/02/22;000000;117.21;119.8;113.5;118.22;4680533
MTLR;D;02/02/22;000000;119.02;125;118;119.23;7158472
MTLR;D;03/02/22;000000;117.99;118.75;114.17;117;3641921
MTLR;D;04/02/22;000000;119.67;123.29;117.47;120.82;5418417
MTLR;D;07/02/22;000000;121.93;124;118.8;121.77;2573011
MTLR;D;08/02/22;000000;122.82;125;121.69;124.73;2752548
MTLR;D;09/02/22;000000;126.51;133.08;125.55;131.68;7671901
MTLR;D;10/02/22;000000;131.48;149.5;129.66;145.71;26758694
MTLR;D;11/02/22;000000;142.2;143.87;136.2;138.5;10792745
MTLR;D;14/02/22;000000;136.73;144.42;133.5;140.82;11179753
MTLR;D;15/02/22;000000;143.04;155.92;142.62;155.56;14377014
MTLR;D;16/02/22;000000;158.57;162.6;151.28;157.2;11756542
MTLR;D;17/02/22;000000;153;155.79;146.3;148;7247070
MTLR;D;18/02/22;000000;149.12;152.86;135.44;140.55;8115776
MTLR;D;21/02/22;000000;145.02;152.17;110.16;122;20330502
MTLR;D;22/02/22;000000;114.28;134.3;100.15;128;16838079
MTLR;D;24/02/22;000000;108;115;64.94;68;17354310
MTLR;D;25/02/22;000000;78.6;96.7;70.71;83.3;21785985
MTLR;D;28/03/22;000000;87.8;100.1;71.21;76.28;9985040
MTLR;D;29/03/22;000000;77.5;89.99;75.01;82.9;7813403
MTLR;D;30/03/22;000000;85.61;95.5;85.01;93.2;5470938
MTLR;D;31/03/22;000000;95.06;104.82;95.01;102.44;7782268
MTLR;D;01/04/22;000000;103.52;106.82;99.1;103;6296928
MTLR;D;04/04/22;000000;103.05;106;99.6;102.73;3810107
MTLR;D;05/04/22;000000;102.71;102.9;95.11;97.44;4222516
MTLR;D;06/04/22;000000;96.63;103;92;100;3824585
MTLR;D;07/04/22;000000;101.67;105.67;100.6;103.45;3601196
MTLR;D;08/04/22;000000;104;106.3;101;102.36;3753350
MTLR;D;11/04/22;000000;104;113;102.4;110.99;8991010
MTLR;D;12/04/22;000000;112.67;120;107.01;120;7090054
MTLR;D;13/04/22;000000;121.1;129.5;120.03;127.67;15026960
MTLR;D;14/04/22;000000;129.05;131.9;118.5;120.1;10493893
MTLR;D;15/04/22;000000;118.95;123.75;115;122.78;5506592
MTLR;D;18/04/22;000000;124.41;128.47;118.08;119.55;4944405
MTLR;D;19/04/22;000000;119.4;120.85;109.11;117.61;5917667
MTLR;D;20/04/22;000000;119.01;124;111.03;118.6;6122106
MTLR;D;21/04/22;000000;119.17;126;118.64;120.33;5464753
MTLR;D;22/04/22;000000;121;125.5;118;125.42;2886316
MTLR;D;25/04/22;000000;126.99;128;121.43;122.25;3605066
MTLR;D;26/04/22;000000;123.27;126.79;122.32;126;2966440
MTLR;D;27/04/22;000000;127.49;136;126.51;133.79;6925391
