<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20/12/21;000000;5657.5;5658.5;5492.5;5533.5;279999
MGNT;D;21/12/21;000000;5559.5;5600;5483;5521.5;327690
MGNT;D;22/12/21;000000;5541.5;5598;5501.5;5551;311777
MGNT;D;23/12/21;000000;5551.5;5612;5505;5538.5;320871
MGNT;D;24/12/21;000000;5543.5;5629;5505;5592.5;175935
MGNT;D;27/12/21;000000;5612.5;5685;5600;5665.5;359711
MGNT;D;28/12/21;000000;5670;5679.5;5602;5658;500337
MGNT;D;29/12/21;000000;5401;5466.5;5378;5446;470799
MGNT;D;30/12/21;000000;5445;5488;5409;5444;270527
MGNT;D;03/01/22;000000;5461.5;5549;5440.5;5509.5;188883
MGNT;D;04/01/22;000000;5509.5;5578;5493.5;5565;215745
MGNT;D;05/01/22;000000;5570;5602.5;5370;5399;202620
MGNT;D;06/01/22;000000;5390;5555;5360;5535;215082
MGNT;D;10/01/22;000000;5538;5584.5;5424;5473;231465
MGNT;D;11/01/22;000000;5475;5563;5460;5505.5;188782
MGNT;D;12/01/22;000000;5529;5642.5;5480;5623;355621
MGNT;D;13/01/22;000000;5609;5640;5250;5330;667823
MGNT;D;14/01/22;000000;5353.5;5399;5106;5235.5;839771
MGNT;D;17/01/22;000000;5235;5297;5141.5;5185.5;500397
MGNT;D;18/01/22;000000;5206;5226.5;4770;4973;860969
MGNT;D;19/01/22;000000;5000;5149.5;4791.5;5040;750621
MGNT;D;20/01/22;000000;5042.5;5175;4982;4991;437643
MGNT;D;21/01/22;000000;4980;5137.5;4921.5;5046.5;549929
MGNT;D;24/01/22;000000;5060;5090;4667;4823.5;900705
MGNT;D;25/01/22;000000;4823.5;4909;4651;4895;619959
MGNT;D;26/01/22;000000;4897;4924;4733;4768.5;508943
MGNT;D;27/01/22;000000;4736;4997.5;4714.5;4883.5;668361
MGNT;D;28/01/22;000000;4890;4968;4816.5;4904;467413
MGNT;D;31/01/22;000000;4931;5079;4921.5;5079;287546
MGNT;D;01/02/22;000000;5079;5117;5012;5114;390602
MGNT;D;02/02/22;000000;5115;5225;5106;5200;378878
MGNT;D;03/02/22;000000;5200;5278;5125;5187;556896
MGNT;D;04/02/22;000000;5195;5384.5;5176;5285;740012
MGNT;D;07/02/22;000000;5300.5;5357;5153;5210;368050
MGNT;D;08/02/22;000000;5216.5;5229;5164.5;5182;407416
MGNT;D;09/02/22;000000;5194;5276.5;5182.5;5254;436568
MGNT;D;10/02/22;000000;5265;5269;5197;5227.5;310998
MGNT;D;11/02/22;000000;5220;5224;4925.5;4971.5;595991
MGNT;D;14/02/22;000000;4964.5;5045.5;4770;4956.5;542386
MGNT;D;15/02/22;000000;4975;5260.5;4971.5;5239;480608
MGNT;D;16/02/22;000000;5260;5450;5191;5395;529553
MGNT;D;17/02/22;000000;5395;5402.5;5187;5224.5;567731
MGNT;D;18/02/22;000000;5220.5;5284.5;4996;5041.5;572652
MGNT;D;21/02/22;000000;5041;5186;4021;4240;1586697
MGNT;D;22/02/22;000000;4180;4660;4000.5;4600;1540082
MGNT;D;24/02/22;000000;4025;4300;2414;3312;1561177
MGNT;D;25/02/22;000000;3236;3840;3100;3202;1257392
MGNT;D;24/03/22;000000;3202;4100;3200;3457.5;575283
MGNT;D;25/03/22;000000;3611;3780;3286.5;3338;238079
MGNT;D;28/03/22;000000;3414.5;3490;3330;3337.5;122271
MGNT;D;29/03/22;000000;3351;3669;3330;3405.5;270307
MGNT;D;30/03/22;000000;3600.5;3855;3450;3855;206118
MGNT;D;31/03/22;000000;3920;4272;3884;4155;315835
MGNT;D;01/04/22;000000;4185;4429;4155;4220;259172
MGNT;D;04/04/22;000000;4370;4395;4201;4273.5;141116
MGNT;D;05/04/22;000000;4299.5;4300;3901;4098;121289
MGNT;D;06/04/22;000000;4087;4195;3950;4120;102927
